Fragment_length	Missing_sites	GCGC-GCGC	Sum
715	0	407	407
716	0	411	411
717	0	410	410
718	0	414	414
719	0	359	359
720	0	388	388
721	0	422	422
722	0	391	391
723	0	404	404
724	0	340	340
725	0	387	387
726	0	353	353
727	0	382	382
728	0	376	376
729	0	388	388
730	0	404	404
731	0	375	375
732	0	424	424
733	0	397	397
734	0	393	393
735	0	380	380
736	0	398	398
737	0	388	388
738	0	367	367
739	0	359	359
740	0	376	376
741	0	410	410
742	0	385	385
743	0	411	411
744	0	391	391
745	0	414	414
746	0	398	398
747	0	354	354
748	0	408	408
749	0	391	391
750	0	395	395
751	0	399	399
752	0	364	364
753	0	396	396
754	0	389	389
755	0	428	428
756	0	405	405
757	0	384	384
758	0	396	396
759	0	397	397
760	0	417	417
761	0	408	408
762	0	393	393
763	0	404	404
764	0	363	363
765	0	402	402
766	0	370	370
767	0	355	355
768	0	382	382
769	0	388	388
770	0	372	372
771	0	415	415
772	0	365	365
773	0	382	382
774	0	368	368
775	0	356	356
776	0	394	394
777	0	407	407
778	0	403	403
779	0	364	364
780	0	449	449
781	0	368	368
782	0	411	411
783	0	382	382
784	0	344	344
785	0	381	381
786	0	400	400
787	0	388	388
788	0	409	409
789	0	371	371
790	0	391	391
791	0	393	393
792	0	363	363
793	0	368	368
794	0	338	338
795	0	329	329
796	0	389	389
797	0	353	353
798	0	363	363
799	0	366	366
800	0	388	388
801	0	404	404
802	0	335	335
803	0	366	366
804	0	385	385
805	0	390	390
806	0	355	355
807	0	406	406
808	0	368	368
809	0	337	337
810	0	351	351
811	0	380	380
812	0	388	388
813	0	363	363
814	0	375	375
815	0	358	358
816	0	400	400
817	0	388	388
818	0	371	371
819	0	361	361
820	0	386	386
821	0	377	377
822	0	380	380
823	0	358	358
824	0	374	374
825	0	360	360
826	0	360	360
827	0	339	339
828	0	348	348
829	0	347	347
830	0	372	372
831	0	329	329
832	0	367	367
833	0	365	365
834	0	352	352
835	0	361	361
836	0	376	376
837	0	366	366
838	0	328	328
839	0	363	363
840	0	348	348
841	0	365	365
842	0	333	333
843	0	347	347
844	0	351	351
845	0	381	381
846	0	363	363
847	0	371	371
848	0	348	348
849	0	352	352
850	0	369	369
851	0	382	382
852	0	413	413
853	0	444	444
854	0	366	366
855	0	415	415
856	0	378	378
857	0	373	373
858	0	369	369
859	0	342	342
860	0	372	372
861	0	351	351
862	0	363	363
863	0	310	310
