Fragment_length	Missing_sites	CCGG-CCGG	CCGG-GCGC	GCGC-GCGC	Sum
77	0	2794	2559	1056	6409
78	0	2229	3002	1075	6306
79	0	2298	4370	1123	7791
80	0	2523	2982	973	6478
81	0	2187	2944	1067	6198
82	0	2459	2652	1024	6135
83	0	2075	4170	1918	8163
84	0	2439	2496	15463	20398
85	0	2858	2937	1816	7611
86	0	2414	2414	1900	6728
87	0	2498	2340	1383	6221
88	0	1822	2390	5780	9992
89	0	1980	2386	1778	6144
90	0	2296	2268	992	5556
91	0	2027	2204	925	5156
92	0	2158	2362	1304	5824
93	0	1804	2436	795	5035
94	0	1902	2387	945	5234
95	0	1770	2479	850	5099
96	0	1988	2363	1606	5957
97	0	2144	3011	827	5982
98	0	1872	7253	915	10040
99	0	1897	3317	898	6112
100	0	1781	2710	766	5257
101	0	1734	2975	669	5378
102	0	1725	7396	738	9859
103	0	1820	3022	686	5528
104	1	1942	2787	750	5480
105	0	1995	2319	639	4953
106	0	2124	2490	677	5291
107	0	2010	2169	687	4866
108	0	1914	2340	697	4951
109	0	1674	2023	614	4311
110	0	1609	2213	627	4449
111	0	1699	1915	616	4230
112	0	1640	2022	637	4299
113	0	1859	1850	650	4359
114	0	1648	1883	748	4279
115	0	1766	1875	697	4338
116	1	2805	2144	861	5811
117	0	2386	1956	621	4963
118	0	2136	2047	687	4870
119	0	1610	2086	724	4420
120	0	1680	2365	888	4933
121	0	1732	2313	1972	6017
122	0	1784	2151	748	4683
123	0	1578	2124	623	4325
124	0	1578	2178	607	4363
125	0	1492	2237	624	4353
126	0	1747	2295	603	4645
127	0	1648	4095	568	6311
128	0	1687	9529	567	11783
129	0	1693	6586	720	8999
130	0	1662	4010	860	6532
131	0	1812	4972	848	7632
132	0	2172	10139	765	13076
133	0	4890	6657	998	12545
134	0	10225	3987	1417	15629
135	0	8980	2957	1179	13116
136	0	4314	2634	876	7824
137	0	3069	2243	846	6158
138	0	2512	2164	734	5410
139	0	2123	2125	1062	5310
140	0	1824	2029	967	4820
