Fragment_length	Missing_sites	CCGG-CCGG	Sum
458	0	864	864
459	0	920	920
460	0	891	891
461	0	907	907
462	0	968	968
463	0	912	912
464	0	909	909
465	0	947	947
466	0	946	946
467	0	899	899
468	0	951	951
469	0	936	936
470	0	938	938
471	0	962	962
472	0	950	950
473	0	902	902
474	0	989	989
475	0	895	895
476	0	941	941
477	0	931	931
478	0	921	921
479	0	916	916
480	0	956	956
481	0	862	862
482	0	898	898
483	0	969	969
484	0	890	890
485	0	900	900
486	0	944	944
487	0	880	880
488	0	907	907
489	0	872	872
490	0	903	903
491	0	860	860
492	0	907	907
493	0	890	890
494	0	973	973
495	0	909	909
496	0	884	884
497	0	881	881
498	0	911	911
499	0	885	885
500	0	919	919
501	0	870	870
502	0	904	904
503	0	865	865
504	0	858	858
505	0	905	905
506	0	910	910
507	0	858	858
508	0	864	864
509	0	825	825
510	0	859	859
511	0	847	847
512	0	912	912
513	0	868	868
514	0	903	903
515	0	857	857
516	0	811	811
517	0	883	883
518	0	837	837
519	0	836	836
520	0	841	841
521	0	840	840
522	0	838	838
523	0	862	862
524	0	845	845
525	0	843	843
526	0	871	871
527	0	824	824
528	0	881	881
529	0	836	836
530	0	897	897
531	0	898	898
532	0	823	823
533	0	827	827
534	0	824	824
535	0	807	807
536	0	837	837
537	0	817	817
538	0	846	846
539	0	876	876
540	0	808	808
541	0	825	825
542	0	843	843
543	0	822	822
544	0	852	852
545	0	781	781
546	0	814	814
547	0	799	799
548	0	786	786
549	0	835	835
550	0	866	866
551	0	789	789
552	0	793	793
553	0	797	797
554	0	818	818
555	0	763	763
556	0	768	768
557	0	822	822
558	0	800	800
559	0	885	885
560	0	818	818
561	0	845	845
562	0	827	827
563	0	811	811
564	0	795	795
565	0	847	847
566	0	890	890
567	0	775	775
568	0	807	807
569	0	768	768
570	0	804	804
571	0	800	800
572	0	774	774
573	0	816	816
574	0	834	834
575	0	824	824
576	0	820	820
577	0	775	775
578	0	762	762
579	0	800	800
580	0	799	799
581	0	781	781
582	0	801	801
583	0	784	784
584	0	839	839
585	0	762	762
586	0	778	778
587	0	695	695
588	0	801	801
589	0	742	742
590	0	765	765
591	0	729	729
592	0	756	756
593	0	842	842
594	0	782	782
595	0	773	773
596	0	735	735
597	0	740	740
598	0	821	821
599	0	720	720
600	0	772	772
601	0	743	743
602	0	754	754
603	0	759	759
604	0	803	803
605	0	723	723
606	0	809	809
607	0	747	747
608	0	764	764
609	0	729	729
610	0	718	718
611	0	765	765
612	0	749	749
613	0	784	784
614	0	732	732
615	0	730	730
616	0	759	759
617	0	718	718
618	0	705	705
619	0	725	725
620	0	698	698
621	0	751	751
622	0	745	745
623	0	760	760
624	0	762	762
625	0	743	743
626	0	714	714
627	0	740	740
628	0	736	736
629	0	712	712
630	0	711	711
631	0	707	707
632	0	731	731
633	0	765	765
634	0	709	709
635	0	709	709
636	0	773	773
637	0	708	708
638	0	721	721
639	0	739	739
640	0	789	789
641	0	745	745
642	0	786	786
643	0	736	736
644	0	704	704
645	0	759	759
646	0	736	736
647	0	684	684
648	0	771	771
649	0	709	709
650	0	717	717
651	0	708	708
652	0	716	716
653	0	721	721
654	0	715	715
655	0	750	750
656	0	699	699
657	0	727	727
658	0	721	721
659	0	724	724
660	0	720	720
661	0	746	746
662	0	690	690
663	0	753	753
664	0	694	694
665	0	650	650
666	0	674	674
667	0	676	676
